asin,url,total_images
B015E0E3AI,https://images-na.ssl-images-amazon.com/images/I/71l9-GZAGkL.jpg,3
B07JVD59TZ,https://m.media-amazon.com/images/I/71iQOCuSEAL._SL1600_.jpg,2
B0775WV7BS,https://images-na.ssl-images-amazon.com/images/I/71Nu383IasL._SL1600_.jpg,2
B079JBP6T8,https://images-na.ssl-images-amazon.com/images/I/71IkuFEbjBL.jpg,2
B09Q84J3QY,https://m.media-amazon.com/images/I/81UGUJdh25L._SL1600_.jpg,2
B011ZAGU2A,https://images-na.ssl-images-amazon.com/images/I/71IB3aPsFwL.jpg,1
B00L2O4TLY,https://images-na.ssl-images-amazon.com/images/I/613C1+KTDCL._SL1600_.jpg,1
B00VTV7E5S,https://images-na.ssl-images-amazon.com/images/I/71qViW3mtFL.jpg,6
B07CZY8YZX,https://images-na.ssl-images-amazon.com/images/I/71f52ra1l-L.jpg,1
B07Z918FXL,https://images-na.ssl-images-amazon.com/images/I/81SVc9uGUAL.jpg,9
B0777DPGDD,https://images-na.ssl-images-amazon.com/images/I/81tT3pPTEuL.jpg,1
B075YS98B4,https://images-na.ssl-images-amazon.com/images/I/41YWyKxtzAL._SL1600_.jpg,4
B01CTQ3NU6,https://images-na.ssl-images-amazon.com/images/I/718pCjhrcvL.jpg,3
B01LEAIGTG,https://m.media-amazon.com/images/I/71+3ypQwqIL._SL1600_.jpg,1
B09XDWG55P,https://m.media-amazon.com/images/I/61Y2PdpDKTL._SL1600_.jpg,5
B07FMTZSBX,https://images-na.ssl-images-amazon.com/images/I/7104X-YiZqL._SL1600_.jpg,1
B01CRDYZ26,https://images-na.ssl-images-amazon.com/images/I/81BQXagE8kL._SL1600_.jpg,1
B01N9TZAAV,https://m.media-amazon.com/images/I/717YCxoxqEL._SL1600_.jpg,2
B00Z8UPRJG,https://images-na.ssl-images-amazon.com/images/I/51L98QvdvCL._SL1600_.jpg,1
B07R7R43KF,https://images-na.ssl-images-amazon.com/images/I/81KoKnllSqL.jpg,1
B01MRF2H8U,https://images-na.ssl-images-amazon.com/images/I/71LUAH2rLkL.jpg,1
B01LZUY7V8,https://images-na.ssl-images-amazon.com/images/I/71ggC-3XMuL.jpg,2
B01I0Q2OVS,https://images-na.ssl-images-amazon.com/images/I/81UV9WWn7yL._SL1600_.jpg,1
B0741CPXPF,https://images-na.ssl-images-amazon.com/images/I/71eTka-wogL.jpg,1
B07QGDJ5BN,https://images-na.ssl-images-amazon.com/images/I/71u2Lnb2CuL.jpg,2
B007RW2FFW,https://images-na.ssl-images-amazon.com/images/I/71ZxgTC3kaL.jpg,14
B084HFQXHQ,https://images-na.ssl-images-amazon.com/images/I/81tPC8jWjtL.jpg,3
B07Q62B3FS,https://m.media-amazon.com/images/I/51q4dgo5hdL._SL1600_.jpg,1
B074DZQLBV,https://images-na.ssl-images-amazon.com/images/I/918qmUm1-sL._SL1600_.jpg,6
B077JRM14C,https://images-na.ssl-images-amazon.com/images/I/71D7lv6OSRL.jpg,1
B08BR1FYD4,https://m.media-amazon.com/images/I/81tRp3MQOSL._SL1600_.jpg,1
B009ETK2BK,https://images-na.ssl-images-amazon.com/images/I/81fVZCg3ETL.jpg,1
